"CEL"	"SampleName"
"1"	"rawdata/LMS_90-422_92-543.CEL"	"LMS90"
"2"	"rawdata/LMS03p84.CEL"	"LMS03"
"3"	"rawdata/LMS04p35.CEL"	"LMS04"
"4"	"rawdata/LMS05p39.CEL"	"LMS05"
"5"	"rawdata/LMS676p17.CEL"	"LMS676"
"6"	"rawdata/MES-SA_-CytoScanHD_Array-.CEL"	"MES"
